pais,escenario,idoneidad,idoneidad_tf
Colombia,Actual,0.22477304935455322,0.22477400218489763
Colombia,Optimista,0.054181069135665894,0.05418261255212437
Colombia,Pesimista,0.009916366077959538,0.00991806273795816
Colombia,Actual,0.23160108923912048,0.23160201843092376
Colombia,Optimista,0.055914729833602905,0.0559162672481618
Colombia,Pesimista,0.01023254543542862,0.010234241000820462
Colombia,Actual,0.2520333528518677,0.25203421130757214
Colombia,Optimista,0.06136187165975571,0.06136339021641566
Colombia,Pesimista,0.011244124732911587,0.011245816796235597
Colombia,Actual,0.22796373069286346,0.2279646724771312
Colombia,Optimista,0.05459132418036461,0.05459286617652811
Colombia,Pesimista,0.009922695346176624,0.009924391984263443
Colombia,Actual,0.16964071989059448,0.16964186358799008
Colombia,Optimista,0.03949375078082085,0.039495345044489504
Colombia,Pesimista,0.007122683338820934,0.007124389670494806
Colombia,Actual,0.08236021548509598,0.08236166134589845
Colombia,Optimista,0.018442271277308464,0.018443938420789285
Colombia,Pesimista,0.0032918136566877365,0.00329353325075786
Colombia,Actual,0.2184925377368927,0.21849351231024605
Colombia,Optimista,0.04784621298313141,0.04784777833073855
Colombia,Pesimista,0.008315208368003368,0.008316910571178808
Colombia,Actual,0.1575297862291336,0.15753097185434572
Colombia,Optimista,0.03351803123950958,0.03351964619100294
Colombia,Pesimista,0.005789099261164665,0.005790810209680648
Colombia,Actual,0.04045678302645683,0.04045837395612661
Colombia,Optimista,0.008179550059139729,0.008181252731961592
Colombia,Pesimista,0.0013977375347167253,0.0013994636860415052
Colombia,Actual,0.0373140424489975,0.03731564425877396
Colombia,Optimista,0.007533094380050898,0.007534799290889735
Colombia,Pesimista,0.0012870309874415398,0.0012887575220302306
Colombia,Actual,0.15545034408569336,0.1554515369098937
Colombia,Optimista,0.03302762657403946,0.03302924322330422
Colombia,Pesimista,0.005704667419195175,0.005706378660012551
Colombia,Actual,0.27946797013282776,0.27946873361042135
Colombia,Optimista,0.06305380165576935,0.0630553143550006
Colombia,Pesimista,0.011035434901714325,0.011037127687518468
Colombia,Actual,0.14741697907447815,0.14741819971003173
Colombia,Optimista,0.03116064891219139,0.03116227202489647
Colombia,Pesimista,0.005381901282817125,0.005383613641044582
Colombia,Actual,0.12411516904830933,0.12411647035427553
Colombia,Optimista,0.025919131934642792,0.025920773193377596
Colombia,Pesimista,0.004470017738640308,0.00447173325379084
Colombia,Actual,0.2884894013404846,0.288490133586059
Colombia,Optimista,0.06512268632650375,0.06512419186329656
Colombia,Pesimista,0.011430746875703335,0.011432438292945121
Colombia,Actual,0.1761799156665802,0.17618103672540733
Colombia,Optimista,0.037559639662504196,0.03756124062202789
Colombia,Pesimista,0.006519387010484934,0.006521095430758948
Colombia,Actual,0.04193412885069847,0.04193571466582577
Colombia,Optimista,0.009309006854891777,0.009310705617556205
Colombia,Pesimista,0.001709307893179357,0.001711032965853622
Colombia,Actual,0.13091301918029785,0.13091429695223927
Colombia,Optimista,0.0301478561013937,0.03014948272036777
Colombia,Pesimista,0.005583573132753372,0.00558528479279681
Colombia,Actual,0.2699883282184601,0.26998912451438944
Colombia,Optimista,0.06636006385087967,0.06636156510389557
Colombia,Pesimista,0.01246180385351181,0.012463491701254414
Colombia,Actual,0.24691563844680786,0.24691651461993996
Colombia,Optimista,0.060053884983062744,0.060055408067947104
Colombia,Pesimista,0.011212984099984169,0.011214676271116445
Colombia,Actual,0.24369476735591888,0.243695654679644
Colombia,Optimista,0.05923192575573921,0.05923345168623041
Colombia,Pesimista,0.011021791025996208,0.011023483859035184
